#siteKey|categoryKey|itemKey|attributeName|valueMapping|mappingStrategy


tiki|mobiles|prod-mobile|brand|""|NONE
tiki|mobiles|prod-mobile|vat|""|NONE
tiki|mobiles|prod-mobile|manufacturer|""|NONE
tiki|mobiles|prod-mobile|weightDelivery|""|NONE
tiki|mobiles|prod-mobile|weight|""|NONE
tiki|mobiles|prod-mobile|color|""|NONE
tiki|mobiles|prod-mobile|chipType|""|NONE
tiki|mobiles|prod-mobile|chipName|""|NONE
tiki|mobiles|prod-mobile|chipSpeed|""|NONE
tiki|mobiles|prod-mobile|os|""|NONE
tiki|mobiles|prod-mobile|ram|""|NONE
tiki|mobiles|prod-mobile|map|""|NONE
tiki|mobiles|prod-mobile|boxIncluded|""|NONE
tiki|mobiles|prod-mobile|SKU|""|NONE
tiki|mobiles|prod-mobile|individualCtg|""|NONE


