#ID|name|parent|description

# ROOT category
root|Root||All Categories


# =============================================================================
# Products
# -----------------------------------------------------------------------------

mobiles-tablets|Mobiles & Tablets|root|Mobiles & Tablets
mobiles|Mobile|mobiles-tablets|Mobiles
tablets|Tablets|mobiles-tablets|Tablets
landline-phones|Landline Phones|mobiles-tablets|Landline Phones


compulters-laptops|Computers & Laptops|root|Computers & Laptops
laptops|Laptops|compulters-laptops|Laptops
desktops|Desktops|compulters-laptops|Desktops

# =============================================================================
# Jobs
# -----------------------------------------------------------------------------

jobs|Jobs|root|Jobs & Recruitment
recruitment|Recruitment|jobs|Recruitment
employee|Job Candidates|jobs|Candidates

# =============================================================================
# Phones and Emails
# -----------------------------------------------------------------------------





